easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
DE-1A-110,S/0078,S,Airbus,A320-200 + variants,Sim International B.V.,D,Vagar Airport
DE-1A-111,2RN8,R,Dornier,B787-9,L3Harris,2,Frankfurt/Main
DE-1A-112,2WAB-899,R,Beech,A350-900,CAE,D,Neufahrn
DE-1A-113,S/0091,R,Boeing,AS 332 L 2 + variants,Thales Training and Simulation,D,Marseille Airport
DE-1A-115,S/N 2RS4-428,R,Embraer,EC-225LP,Thales Training and Simulation,3,Marseille Airport
DE-1A-116,S/N: L3130,R,Boeing,EC-225LP,Thales Training and Simulation,D,Marseille Airport
DE-1A-117,CAE S/N: 12,R,Boeing,Generic Single Engine Piston,Mechtronix,Type II,Mülheim
DE-1A-118,S234102,R,Boeing,Generic Multi Engine Piston,Mechtronix,Type II,Mülheim
DE-1A-119,129367,R,Airbus,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Uetersen
DE-1A-122,134115,I,Airbus,C525 + variants,TRU Simulation,D,Dortmund
DE-1H-005,EC135 FTD-002,R,Eurocopter,A320-200,6MOUV,D,Schiphol
DE-1H-009,Bkk117-D2FF-001,S,Airbus Helicopters,AS 350 B3e + variants,TRU Simulation,D,Helsinki-Vantaa airport
DE-1H-010,65940,R,Airbus Helicopters,Not Applicable + variants,ENTROL,Type II MCC,Rome
DE-1H-011,107257/105367,R,Airbus Helicopters,EC 135 + variants,ENTROL,3,Verona
DE-1H-012,107257/105979,R,Airbus Helicopters,AS 350 B3e,ENTROL,3,Verona
DE-1H-014,S/N: 001,S,Airbus Helicopters,Not Applicable + variants,Alsim,MCC,Perugia (PG)
DE-2A-002,7,R,Airbus,Not Applicable + variants,Alsim,2,Perugia (PG)
DE-2A-006,S/N 118425,R,Airbus,Not Applicable + variants,Alsim,2,Perugia
DE-2A-007,S/0117 (L3062),R,Boeing,B737-800 + variants,CAE,D,Bergamo
DE-2A-009,S/N: 131506,R,Airbus,A320-200 + variants,L3Harris,Type II,Schwechat
DE-2A-009,S/N: 131506,R,Airbus,Generic Multi Engine Turbine,L3Harris,Type II MCC,Schwechat
DE-2A-093,SN-FFT-2122,R,Cessna,B787-9,CAE,D,Schwechat
DE-2A-094,SN-FFT-2123,S,Cessna,Generic Multi Engine Piston,Alsim,Type II,Linz
DE-2A-096,S/N SN-FFT-2126,R,Cessna,B777-300ER,Thales Training and Simulation,D,Schiphol-Oost
DE-2A-105,SN-FFT-2197,R,Cessna,Generic Multi Engine Piston,Frasca Internatinal Inc.,Type II,Pori
DE-2A-117,MPS-A207,R,Airbus,Generic Multi Engine Piston,Frasca Internatinal Inc.,Type II,Pori
DE-2A-134,EUGAD228212NG,R,Dornier,DA 42 + variants,Frasca Internatinal Inc.,2,Pori
DE-2H-001,121,I,Bell Helicopters,DA 42 + variants,Frasca Internatinal Inc.,2,Pori
DE-2H-001,121,I,Bell Helicopters,PA 44 Seminole,Mechtronix,Type II,Mönchengladbach
DE-2H-005,S/N 7872-001,R,Eurocopter,Not Applicable + variants,Alsim,Type II,Mönchengladbach
DE-2H-009,10229-001,R,Eurocopter,ERJ 190-300  E2,FSI,D,Paris Le Bourget
DE-2H-011,10230-001,R,Airbus Helicopters,A320-200,CAE,D,Frankfurt
DE-2H-012,Frasca S/N 1369,R,Eurocopter,EMB190 + variants,FSI,D,Le Bourget Airport
DE-2H-013,15364-001,R,Airbus Helicopters,A350-900,L3 CTS Ltd,D,München
DE-3A-016,TFC 005/006,R,Not Applicable,B777-300ER,CAE,D,Berlin
DE-3A-065B,15-60023-C-3EX,R,Not Applicable,A330-200,Sim International B.V.,D,Helsinki airport
DE-3A-068,S821 10-60014,R,Not Applicable,A340-600,CAE,D,Frankfurt
DE-3A-073,24-60030-S-3EX,R,Not Applicable,A330-300,CAE,D,München
DE-3A-074,SN-FFT-2062,R,Not Applicable,A350-900,TRU Simulation,D,München
DE-3A-076A,SN-FT-2057,R,Not Applicable,Not Applicable + variants,ELITE Simulation Solutions AG,Type II,Kyritz
DE-3A-076B,SN-FT-2057,R,Not Applicable,Not Applicable + variants,ELITE Simulation Solutions AG,Type II MCC,Kyritz
DE-3A-080A,4160049C3EX,R,Not Applicable,72 - 600,TRU Simulation,D,Paris CDG
DE-3A-080B,4160049C3EX,R,Not Applicable,A320-200,CSS (China Simulation Sciences),D,"Tremblay en France, France"
DE-3A-083,FFT-2089,R,Piper,A320-200 + variants,CSS (China Simulation Sciences),D,"Tremblay en France, France"
DE-3A-089,SN-FFT-2087,S,Not Applicable,Generic Multi Engine Turbine,ENTROL,Type II MCC,Egelsbach
DE-3A-093,SN-FFT-2122,R,Cessna,A400M + variants,Thales Training and Simulation,D,Wunstorf
